75,4038.85,95r??59
33905794,0.2111,4028.3203,850.5744
33905831,0.1848,4033.2031,745.1547
33905868,0.1848,4028.3203,744.2526
33905906,0.1584,4028.3203,637.9308
33905943,0.2111,4028.3203,850.5744
33905981,0.1584,4033.2031,638.7040
33906018,0.2375,4028.3203,956.8962
33906056,0.2375,4033.2031,958.0560
33906094,0.2111,4038.0859,852.6364
33906130,0.2111,4033.2031,851.6054
33906168,0.2111,4033.2031,851.6054
33906205,0.1848,4038.0859,746.0569
33906243,0.1848,4033.2031,745.1547
33906280,0.1848,4033.2031,745.1547
33906318,0.2111,4033.2031,851.6054
33906355,0.2639,4028.3203,1063.2180
33906394,0.2639,4028.3203,1063.2180
33906433,0.2111,4028.3203,850.5744
33906469,0.2375,4038.0859,959.2159
33906507,0.2375,4028.3203,956.8962
33906544,0.2375,4013.6719,953.4166
33906582,0.2111,4033.2031,851.6054
33906619,0.2111,4028.3203,850.5744
33906657,0.2375,4023.4375,955.7363
33906695,0.1320,4033.2031,532.2534
33906732,0.2111,4028.3203,850.5744
33906769,0.1848,4028.3203,744.2526
33906806,0.3431,4033.2031,1383.8588
33906845,0.1848,4028.3203,744.2526
33906882,0.1848,4033.2031,745.1547
33906920,0.1848,4038.0859,746.0569
33906958,0.2111,4033.2031,851.6054
33906995,0.3167,4033.2031,1277.4081
33907034,0.1848,4013.6719,741.5463
33907070,0.3695,4033.2031,1490.3094
33907109,0.1848,4018.5547,742.4484
33907146,0.2375,4023.4375,955.7363
33907184,0.3167,4038.0859,1278.9545
33907223,0.1848,4038.0859,746.0569
33907260,0.3431,4033.2031,1383.8588
33907299,0.2375,4033.2031,958.0560
33907336,0.2639,4018.5547,1060.6405
33907375,0.3167,4028.3203,1275.8616
33907412,0.2639,4028.3203,1063.2180
33907451,0.1848,4033.2031,745.1547
33907489,0.1848,4033.2031,745.1547
33907526,0.2639,4038.0859,1065.7954
33907565,0.2375,4038.0859,959.2159
33907602,0.2375,4033.2031,958.0560
33907640,0.2903,4033.2031,1170.9574
33907678,0.2375,4028.3203,956.8962
33907716,0.2639,4033.2031,1064.5067
33907753,0.2639,4033.2031,1064.5067
33907792,0.3695,4033.2031,1490.3094
33907831,0.2639,4038.0859,1065.7954
33907869,0.2639,4033.2031,1064.5067
33907908,0.2903,4033.2031,1170.9574
33907946,0.2639,4033.2031,1064.5067
33907985,0.2111,4033.2031,851.6054
33908023,0.2639,4033.2031,1064.5067
33908061,0.2375,4023.4375,955.7363
33908099,0.2111,4033.2031,851.6054
33908135,0.1848,4023.4375,743.3505
33908173,0.3431,4028.3203,1382.1833
33908211,0.2111,4023.4375,849.5434
33908249,0.2375,4033.2031,958.0560
33908286,0.2111,4018.5547,848.5124
33908324,0.2111,4033.2031,851.6054
33908362,0.1056,4033.2031,425.8027
33908399,0.1848,4033.2031,745.1547
33908436,0.1848,4038.0859,746.0569
33908473,0.2375,4033.2031,958.0560
33908511,0.1848,4013.6719,741.5463
33908548,0.2375,4028.3203,956.8962
33908586,0.2111,4033.2031,851.6054
33908624,0.1848,4038.0859,746.0569
33908661,0.2111,4033.2031,851.6054
33908699,0.3431,4033.2031,1383.8588
33908737,0.1584,4023.4375,637.1575
33908774,0.1848,4018.5547,742.4484
33908811,0.3167,4028.3203,1275.8616
33908850,0.1848,4018.5547,742.4484
33908888,0.1584,4038.0859,639.4772
33908925,0.1848,4033.2031,745.1547
33908963,0.2375,4033.2031,958.0560
33909000,0.2111,4028.3203,850.5744
33909038,0.2375,4042.9688,960.3758
33909074,0.1848,4038.0859,746.0569
33909112,0.2111,4038.0859,852.6364
33909149,0.1320,4033.2031,532.2534
33909187,0.1584,4028.3203,637.9308
33909225,0.2111,4028.3203,850.5744
33909262,0.2111,4033.2031,851.6054
33909300,0.2111,4033.2031,851.6054
33909337,0.2111,4028.3203,850.5744
33909374,0.1848,4038.0859,746.0569
33909411,0.2111,4033.2031,851.6054
33909449,0.2111,4033.2031,851.6054
33909487,0.2111,4033.2031,851.6054
33909524,0.2111,4033.2031,851.6054
33909562,0.2111,4038.0859,852.6364
33909599,0.1848,4038.0859,746.0569
33909637,0.1848,4042.9688,746.9590
33909673,0.2639,4033.2031,1064.5067
33909712,0.1848,4023.4375,743.3505
33909749,0.2375,4033.2031,958.0560
33909787,0.1848,4033.2031,745.1547
33909825,0.2111,4038.0859,852.6364
33909862,0.2111,4033.2031,851.6054
33909900,0.2111,4033.2031,851.6054
33909937,0.2111,4018.5547,848.5124
33909975,0.2111,4033.2031,851.6054
33910011,0.3167,4038.0859,1278.9545
33910050,0.1056,4033.2031,425.8027
33910088,0.2111,4013.6719,847.4814
33910125,0.2111,4038.0859,852.6364
33910163,0.1584,4033.2031,638.7040
33910200,0.1848,4033.2031,745.1547
33910238,0.2375,4038.0859,959.2159
33910275,0.3167,4033.2031,1277.4081
33910313,0.3167,4038.0859,1278.9545
33910352,0.2111,4018.5547,848.5124
33910389,0.2375,4038.0859,959.2159
33910427,0.1848,4033.2031,745.1547
33910464,0.2639,4038.0859,1065.7954
33910503,0.2111,4038.0859,852.6364
33910540,0.2639,4038.0859,1065.7954
33910579,0.2111,4028.3203,850.5744
33910616,0.1848,4038.0859,746.0569
33910653,0.1848,4033.2031,745.1547
33910691,0.2111,4038.0859,852.6364
33910728,0.1848,4038.0859,746.0569
33910766,0.2375,4038.0859,959.2159
33910803,0.1848,4038.0859,746.0569
33910841,0.2111,4033.2031,851.6054
33910878,0.2375,4028.3203,956.8962
33910916,0.1584,4033.2031,638.7040
33910953,0.2639,4038.0859,1065.7954
33910991,0.2639,4028.3203,1063.2180
33911030,0.3431,4033.2031,1383.8588
33911068,0.1584,4038.0859,639.4772
33911106,0.2375,4033.2031,958.0560
33911143,0.1848,4018.5547,742.4484
33911181,0.1584,4042.9688,640.2505
33911219,0.2111,4023.4375,849.5434
33911256,0.2375,4028.3203,956.8962
33911293,0.2375,4038.0859,959.2159
33911330,0.2375,4038.0859,959.2159
33911368,0.2111,4028.3203,850.5744
33911405,0.2639,4033.2031,1064.5067
33911444,0.2111,4042.9688,853.6674
33911481,0.2903,4033.2031,1170.9574
33911520,0.2375,4018.5547,954.5764
33911558,0.1848,4038.0859,746.0569
33911595,0.2375,4033.2031,958.0560
33911632,0.2375,4028.3203,956.8962
33911669,0.3431,4038.0859,1385.5342
33911708,0.2111,4038.0859,852.6364
33911745,0.2375,4033.2031,958.0560
33911783,0.2639,4033.2031,1064.5067
33911822,0.2111,4028.3203,850.5744
33911859,0.3167,4023.4375,1274.3151
33911898,0.2375,4033.2031,958.0560
33911934,0.1848,4018.5547,742.4484
33911972,0.1848,4033.2031,745.1547
33912009,0.1848,4018.5547,742.4484
33912047,0.3167,4033.2031,1277.4081
33912086,0.1848,4033.2031,745.1547
33912123,0.2375,4033.2031,958.0560
